PERSON1017	plays for 	ORGANIZATION48	188
PERSON1025	born in 	LOCATION715	196
PERSON1025	plays 	ORGANIZATION1026	196
PERSON1037	1987 in 	LOCATION1038	197
LOCATION862		LOCATION863	198
LOCATION862	in 	LOCATION222	198
LOCATION862	of 	ORGANIZATION1044	198
LOCATION863	in 	LOCATION222	198
LOCATION863	of 	ORGANIZATION1044	198
LOCATION222	of 	ORGANIZATION1044	198
PERSON1051	1989 in 	ORGANIZATION1052	199
PERSON1051	playing for 	ORGANIZATION649	199
PERSON1051	playing 	ORGANIZATION263	199
ORGANIZATION649	playing 	ORGANIZATION263	199
PERSON1057	known 	LOCATION166	204
PERSON1057	known 	LOCATION1058	204
PERSON1057	known 	ORGANIZATION1059	204
PERSON1057	known 	LOCATION1060	204
PERSON1057	known in 	LOCATION704	204
LOCATION166		LOCATION1058	204
LOCATION166		ORGANIZATION1059	204
LOCATION166		LOCATION1060	204
LOCATION166	in 	LOCATION704	204
LOCATION1058		ORGANIZATION1059	204
LOCATION1058		LOCATION1060	204
LOCATION1058	in 	LOCATION704	204
ORGANIZATION1059		LOCATION1060	204
ORGANIZATION1059	in 	LOCATION704	204
LOCATION1060	in 	LOCATION704	204
PERSON1067	known 	PERSON1068	205
PERSON1068	plays for 	ORGANIZATION502	205
PERSON1068	plays in 	LOCATION42	205
ORGANIZATION502	in 	LOCATION42	205
PERSON1069		PERSON423	206
PERSON1069	born 	LOCATION1070	206
PERSON1069	born in 	ORGANIZATION937	206
PERSON423	born 	LOCATION1070	206
PERSON423	born in 	ORGANIZATION937	206
LOCATION1070	in 	ORGANIZATION937	206
PERSON1069		PERSON423	206
PERSON1069		LOCATION100	206
PERSON1069	plays for 	ORGANIZATION180	206
PERSON423		LOCATION100	206
PERSON423	plays for 	ORGANIZATION180	206
LOCATION100	plays for 	ORGANIZATION180	206
PERSON1077	born in 	LOCATION1078	207
PERSON1077	plays for 	ORGANIZATION691	207
PERSON112	born 1990 	LOCATION1089	208
PERSON112	plays for 	ORGANIZATION63	208
PERSON1095	plays for 	ORGANIZATION649	209
PERSON1106	plays for 	ORGANIZATION649	210
LOCATION100		LOCATION1115	211
LOCATION100	of 	LOCATION1116	211
LOCATION1115	of 	LOCATION1116	211
PERSON1121	born in 	LOCATION1122	214
PERSON1121		PERSON1123	214
PERSON1121	2010 	ORGANIZATION445	214
PERSON1121	2010 against 	ORGANIZATION1125	214
PERSON1123	PERSON1121 2010 	ORGANIZATION445	214
PERSON1123	PERSON1121 2010 against 	ORGANIZATION1125	214
ORGANIZATION71	in 	PERSON1124	214
ORGANIZATION71	made for 	ORGANIZATION674	214
PERSON1124	made for 	ORGANIZATION674	214
ORGANIZATION445	against 	ORGANIZATION1125	214
