PERSON800	Costantino Rozzi
PERSON801	Carlo Mazzone
PERSON802	Ahmed Apimah Barusso
LOCATION803	Nocerina
PERSON804	Barusso
LOCATION805	Manfredonia
PERSON806	Abedi Pele
LOCATION807	Nania F.C
LOCATION808	Accra
PERSON809	Manfredonia
PERSON810	Alfredo Cardinale
LOCATION811	Crotone
PERSON812	Rafael Márquez Álvarez
LOCATION813	Zamora
LOCATION814	Michoacán
ORGANIZATION815	New York Red Bulls
ORGANIZATION816	Monaco
PERSON817	Hugo Sánchez
PERSON818	Márquez
ORGANIZATION819	Deportivo Toluca
PERSON820	Pablo Contreras
ORGANIZATION821	Società Sportiva Calcio Napoli
ORGANIZATION822	Napoli
LOCATION823	Southern Italy
ORGANIZATION824	Associazione Calcio Napoli
PERSON825	Aurelio De Laurentiis
ORGANIZATION826	Napoli Soccer
ORGANIZATION827	Naples Foot-Ball & Cricket Club
PERSON828	William Poths
PERSON829	Hector M. Bayon
PERSON830	Conforti
PERSON831	Catterina
PERSON832	Amedeo Salsi
PERSON833	Marco D'Alessandro
ORGANIZATION834	Verona
PERSON835	D'Alessandro
LOCATION836	Grosseto
PERSON837	Héctor Yuste Cantón
LOCATION838	Cartagena
PERSON839	Real Murcia
PERSON840	Héctor
ORGANIZATION841	FC Cartagena
LOCATION842	Las Palas
LOCATION843	Murcia
PERSON844	Alejandro Arribas Garrido
PERSON845	Arribas
PERSON846	Rayo Majadahonda
ORGANIZATION847	CDA Navalcarnero
PERSON848	Michael Rabušic
ORGANIZATION849	Gambrinus
ORGANIZATION850	FC Slovan Liberec
ORGANIZATION851	FC Náměšť
PERSON852	Rabušic
PERSON853	Vysočina Jihlava
LOCATION854	Vysočina
ORGANIZATION855	FC Brno
PERSON856	Brno
ORGANIZATION857	Zbrojovka Brno
PERSON858	Josef Šural
PERSON859	Dídac Vilà Rosselló
ORGANIZATION860	A.C. Milan
LOCATION861	Mataró
LOCATION862	Barcelona
LOCATION863	Catalonia
PERSON864	Vilà
ORGANIZATION865	RCD Espanyol
PERSON866	Mauricio Pochettino
ORGANIZATION867	Athletic Bilbao
ORGANIZATION868	Pericos
ORGANIZATION869	Espanyol
PERSON870	David García
PERSON871	Matteo Bianchetti
PERSON872	Iván Rodrigo Piris
LOCATION873	São Paulo
PERSON874	Piris
PERSON875	Cerro Porteno
ORGANIZATION876	Manchester United
ORGANIZATION877	Boca Juniors of Argentina
ORGANIZATION878	Tottenham Hotspur
ORGANIZATION879	Benfica
ORGANIZATION880	Bologna FC
ORGANIZATION881	São Paulo FC
PERSON882	Víctor Ruiz Torre
PERSON883	Ruiz
PERSON884	Jesús Dátolo
PERSON885	Adryan Oliveira Tavares
LOCATION886	Rio de Janeiro
ORGANIZATION887	Flamengo
LOCATION888	Copa São Paulo
ORGANIZATION889	Futebol Júnior
LOCATION890	Londrina
LOCATION891	Estádio
ORGANIZATION892	Unione Calcio Sampdoria
PERSON893	Sampierdarenese
PERSON894	Andrea Doria
ORGANIZATION895	Stadio Luigi Ferraris
ORGANIZATION896	Genoa Cricket and Football Club
PERSON897	Ishak Belfodil
LOCATION898	Mostaganem
PERSON899	Belfodil
ORGANIZATION900	OSC Élancourt
ORGANIZATION901	Trappes FC
ORGANIZATION902	Clairefontaine
ORGANIZATION903	AC Boulogne Billencourt
PERSON904	Hatem Ben Arfa
LOCATION905	Issiar Dia
